text,description,image_path,ground_truth,prediction
El Tetris después de los 40...,"La imagen presenta un meme en el que se observan varios blisters de pastillas dispuestos de tal manera que simulan las piezas del videojuego Tetris. Las pastillas son de diferentes colores y formas, incluyendo algunas blancas, amarillas y naranjas. Están organizadas sobre una superficie de color madera clara. En la parte superior de la imagen, hay un texto que dice ""El Tetris después de los 40..."" en una combinación de tipografía negra y roja.",DS_IMG_3215.jpg,hate speech,neither
"*Wendy sale nominada en La Casa de los Famosos* Todo México: Muestren su talento, chicas.","La imagen es un meme que está dividido en dos partes. En la parte superior, hay un texto en letras grandes que dice ""*Wendy sale nominada en La Casa de los Famosos*"". En la parte inferior, el texto ""Todo México:"" precede a una imagen de una mujer con cabello rubio, que está de pie en un ambiente brillante. Ella tiene una expresión intensa y parece estar gritando o animando a otros. El pie de la imagen contiene la frase ""Muestren su talento, chicas"", en letras grandes y claramente legibles. La mujer aparece rodeada por un grupo de personas en un entorno de fiesta, que parece haber un ambiente de diversión o competencia.",DS_IMG_517.jpg,hate speech,neither
El vagabundo al que le dije que no tenía dinero viendo desde la ventana del mcdonald's como compró una Big Mac,"La imagen es un meme que presenta a un hombre con gafas, con una expresión seria y reflexiva, mirando hacia el exterior a través de una ventana. La escena parece ser de una serie o película, con una iluminación suave que resalta su rostro. En la parte superior de la imagen, hay texto que dice: ""El vagabundo al que le dije que no tenía dinero viendo desde la ventana del mcdonald's como compró una Big Mac"". El estilo del meme juega con el contraste de la situación descrita en el texto y la seriedad de la expresión del hombre.",DS_IMG_1188.jpg,hate speech,neither
"-Mamá, ¿no viste mis audífonos? -Vi unos en tu escritorio, pero como ya no tenían cable, los tiré.","La imagen es un meme que presenta un diálogo en la parte superior, con texto en color verde y rojo. En la parte izquierda, un personaje animado de aspecto pequeño y asustado, de color marrón claro, está sosteniendo algo con ambas manos, mostrando una expresión de sorpresa y tristeza. Sus ojos son grandes y redondos, lo que acentúa su expresión emocional. En la parte derecha de la imagen, hay un recuadro que muestra un par de audífonos inalámbricos de color blanco, colocados sobre una superficie clara. El texto del diálogo indica una conversación entre madre e hijo sobre la pérdida de los audífonos.",DS_IMG_3275.jpg,hate speech,hate speech
Yo llorando con la película de Hachi/ mi perro en el patio,"La imagen es un meme dividido en dos paneles. En el panel izquierdo, se observa a una persona con una expresión sonriente, sosteniendo un perro de la raza Shiba Inu que también parece feliz. El fondo es desenfocado, dando énfasis a la persona y al perro. En el panel derecho, se muestra un perro cubierto de barro, con una expresión desaliñada y la lengua afuera, claramente mojado y sucio. El texto en la parte superior dice: ""Yo llorando con la película de Hachii// mi perro en el patio"", ligando ambos paneles de manera cómica al contrastar la ternura del perro en el primer panel con el estado desordenado del perro en el segundo.",DS_IMG_829.jpg,neither,neither
Las mujeres tienen 4 labios. 2 para decir estupideces y 2 para arreglarlas.,"La imagen es un meme que consta de dos partes. En la parte superior, hay un texto en letras grandes y rojas que dice: ""Las mujeres tienen 4 labios"". En la parte inferior de la imagen, se encuentran dos líneas de texto que explican: ""2 para decir estupideces y 2 para arreglarlas"", también en letras rojas. En el centro, se ve a un hombre con expresión exagerada y sorprendente, sosteniendo un libro y con una actitud animada. El fondo incluye diversos posters y objetos decorativos en la pared. En la parte inferior del meme, la imagen del hombre muestra un efecto visual de rayos de luz que salen de sus ojos, resaltando el tono cómico de la situación.",DS_IMG_1127.jpg,hate speech,neither
Mi color favorito es el verde.,"La imagen es un meme que presenta una fotografía de un joven con pelo rubio y dientes que muestran brackets. Él está sonriendo amplia y de manera despreocupada. Lleva un suéter con un diseño de cuadros sobre una camisa de color claro, lo que le da un aspecto escolar. En la parte superior de la imagen, hay texto en mayúsculas que dice “MI COLOR FAVORITO” y, en la parte inferior, “ES EL VERTE”. El fondo de la imagen tiene un tono púrpura, dándole un ambiente nostálgico.",DS_IMG_2236.jpg,hate speech,neither
"Mira, mamá... y sin chilena de Jiménez.","La imagen es un meme que presenta a un personaje montado en una bicicleta, con una expresión alegre y levantando una mano en señal de saludo. La cabeza del personaje ha sido reemplazada por un balón de fútbol con los colores de la bandera de México. En la parte superior de la imagen, hay un texto en letras grandes y amarillas que dice: ""MIRA, MAMÁ..."". En la parte inferior, el texto continúa con ""Y SIN CHILENA DE JIMÉNEZ"". El fondo muestra casas y un cielo despejado, típicos de un paisaje suburbano.",DS_IMG_2512.jpg,neither,hate speech
**Messi Gana el Mundial** - Automáticamente Netflix sacando la serie:,"La imagen es un meme que incluye un texto en la parte superior que dice ""**Messi Gana el Mundial**"" y, debajo, un subtítulo que dice ""-Automáticamente Netflix sacando la serie:"". La imagen principal muestra a un jugador de fútbol con una camiseta de la selección de Argentina, que tiene franjas verticales en colores blanco y celeste, con el número ""10"" en su pecho. El jugador está celebrando, levantando un brazo mientras mira hacia adelante con una expresión de emoción. En el fondo, se pueden ver colores difusos que sugieren un entorno de estadio, posiblemente durante un partido de fútbol. El meme parece satirizar la rápida creación de contenido por parte de plataformas como Netflix tras un evento importante.",DS_IMG_867.jpg,hate speech,neither
"Sus tíos lo maltratan psicológicamente y lo discriminan durante toda su niñez. Sale un niño adorable, solidario y preocupado por el bienestar de otros.","La imagen es un meme que presenta a un niño con gafas y cabello castaño, vestido con una túnica negra. El niño tiene una expresión sonriente y amigable. En la parte superior e inferior de la imagen hay texto en letras mayúsculas. El texto superior dice: ""SUS TÍOS LO MALTRATAN PSICOLÓGICAMENTE Y LO DISCRIMINAN DURANTE TODA SU NIÑEZ"". El texto inferior dice: ""SALE UN NIÑO ADORABLE, SOLIDARIO Y PREOCUPADO POR EL BIENESTAR DE OTROS"". La imagen tiene un fondo desenfocado que parece ser parte de un edificio educativo o mágico.",DS_IMG_2994.jpg,hate speech,hate speech
Comparte esta foto si quieres que Yalitza sea Ariel en el live action de Disney.,"La imagen es un meme que presenta a una persona con cabello rojo brillante. Ella tiene una expresión facial neutra y está mirando hacia la cámara. El fondo es simple y de color claro. En la parte superior de la imagen hay un texto que dice ""COMPARTE ESTA FOTO SI QUIERES"", y en la parte inferior se lee ""QUE YALITZA SEA ARIEL EN EL LIVE ACTION DE DISNEY"". El diseño es típico de los memes, con un enfoque en el texto llamativo y la imagen central.",DS_IMG_102.jpg,neither,neither
¿CÓMO SE VEN TUS FOTOS DEL DÍA DEL NIÑO? PUBLICIDAD DE GERBER TARJETA DE KILO DE AYUDA,"La imagen es un meme que muestra a un personaje de un programa de televisión. En la parte superior hay un texto que dice: “¿CÓMO SE VEN TUS FOTOS DEL DÍA DEL NIÑO?”. El personaje, que está sentado en un automóvil, sostiene un folleto con varias muestras de colores y dos textos que dicen ""PUBLICIDAD DE GERBER"" y ""TARJETA DE KILO DE AYUDA"". El personaje tiene una expresión facial concentrada mientras observa el folleto. El meme presenta humor visual basado en la comparación de expectativas versus realidades de las fotos infantiles.",DS_IMG_128.jpg,neither,neither
¡Qué empoderada! ¡Qué machista!,"La imagen es un meme dividido en dos paneles. En la parte superior, hay dos hombres musculosos que están sonriendo y posando, junto a una chica con cabello rosa que tiene una expresión alegre. El texto que acompaña esta escena dice: ""¡Qué empoderada!"" En la parte inferior, se muestran dos mujeres con un hombre con barba y gafas de sol, mientras las chicas lucen ropa ajustada. La expresión del hombre parece confiar y seducir. El texto en esta sección dice: ""¡Qué machista!"" En ambos paneles, hay personajes con un estilo caricaturesco y expresiones enfatizadas.",DS_IMG_507.jpg,hate speech,neither
"Mira esto Nicki, podemos ver justo el cuadro de cuando se le rompe el corazón a Peso Pluma... ¡ahí!","La imagen es un meme que presenta un diseño estilo cartoon. En el centro de la imagen, hay dos personajes sentados en lo que parece ser un sofá o una fila de asientos. A la izquierda, un niño con cabello corto y oscuro, una expresión de enojo y un gesto de frustración. Él está vestido con una camiseta blanca y parece estar señalando hacia algo. A la derecha, hay una figura femenina con cabello largo y negro, expresando desinterés o sorpresa, vestida con una blusa de tirantes. En la parte inferior de la imagen, se puede ver una mano sosteniendo un control remoto, lo que sugiere que están viendo algo en la televisión. El texto en la parte superior dice: ""MIRA ESTO NICKI, PODEMOS VER JUSTO EL CUADRO DE CUANDO SE LE ROMPE EL CORAZÓN A PESO PLUMA... ¡AHÍ!"" El fondo tiene un color morado, creando un contraste con los personajes.",DS_IMG_2799.jpg,neither,hate speech
La morra que pesa más que un tanque soviético dice que le gustan los chicos de color. El chico de color del curso:,"La imagen es un meme que presenta un texto en la parte superior que dice: ""*La morra que pesa más que un tanque soviético dice que le gustan los chicos de color*"". Debajo de este texto, se muestra una escena con un personaje que tiene una expresión de grito o desesperación, con brazos extendidos y un fondo oscuro. El personaje parece estar rodeado por una especie de sombra o tentáculos oscuros que emergen de su cuerpo. Hay un diseño que asimiliza a un personaje animado en un lado, representando al ""HULK"" de forma caricaturesca. El contraste entre el texto y la imagen sugiere un efecto cómico o irónico.",DS_IMG_926.jpg,hate speech,neither
Yo queriendo madurar y este hombre se aparece con esto.,"La imagen es un meme que muestra una furgoneta con una pintura en la puerta que simula una ilusión óptica. El diseño presenta una figura humana con piernas expuestas, como si estuviera sentado en un inodoro. Un hombre está al volante, asomando un brazo por la ventana. En la parte superior de la imagen hay un texto que dice: ""Yo queriendo madurar y este hombre se aparece con esto"", acompañado de un emoji que representa risa nerviosa. El fondo muestra un entorno urbano con vegetación y otros vehículos visibles.",DS_IMG_3197.jpg,hate speech,neither
LAS CHICAS MÁS GUAPAS ESTÁN EN EL GRUPO CHISTE Y ALBUR DEL BUENO,"La imagen es un meme en el que aparece una mujer con un atuendo colorido y llamativo. Ella sostiene una motosierra en un brazo y un dulce en la mano, mientras sonríe de manera coqueta. Lleva un top morado con la inscripción ""San Romero Knights"" y una falda corta. El fondo incluye un colorido entorno urbano. En la parte superior e inferior de la imagen hay texto en letras mayúsculas que dice ""LAS CHICAS MAS GUAPAS ESTAN EN EL GRUPO"" en la parte superior y ""CHISTE Y ALBUR DEL BUENO"" en la parte inferior.",DS_IMG_1463.jpg,hate speech,neither
No odio la Navidad. Odio todo diciembre.,"La imagen es un meme que presenta a un gato con una expresión facial seria y descontenta. El gato tiene pelaje blanco y manchas marrones en la cara, con ojos grandes que transmiten una mirada de desaprobación. El fondo es de un color neutral y se puede ver la mano de una persona sosteniendo al gato. En la parte superior de la imagen, el texto en letras grandes y en negrita dice ""NO ODIO LA NAVIDAD"". En la parte inferior, otro texto en un estilo similar dice ""ODIO TODO DICIEMBRE"". El diseño del meme utiliza un formato típico en redes sociales, donde el texto resalta el sentimiento contrario que expresa la expresión del gato.",DS_IMG_2567.jpg,neither,neither
Argentina ante Chile,"La imagen es un meme que muestra un grupo de once jugadores de fútbol vestidos con camisetas de la selección argentina, alineados en una pose típica para una fotografía de equipo. Cada jugador tiene superpuesto un rostro de ratón, con orejas grandes y un hocico visible, lo que distorsiona completamente su identidad. El portero se encuentra al fondo, vestido con una camiseta de color verde. En la parte inferior de la imagen se encuentra el texto: ""Argentina ante Chile"", en un tamaño grande y en color blanco, que resalta sobre un fondo oscuro. La composición visual es humorística, utilizando elementos de la caricatura para transmitir un mensaje satírico sobre el equipo.",DS_IMG_200.jpg,neither,hate speech
El deforma se hizo chairo tan gradualmente que no me di cuenta.,"La imagen es un meme que presenta una escena de la serie animada ""Los Simpson"". En la imagen, dos personajes están acostados en una cama. Uno de ellos es un hombre mayor con gafas, que parece estar hablando, mientras que el otro es un personaje con una expresión facial neutral. Ambos están cubiertos con una manta y se encuentran en un entorno de dormitorio, con mesitas de noche a cada lado de la cama. El texto en la parte superior dice: ""EL DEFORMA SE HIZO CHAIRO TAN GRADUALMENTE"", y en la parte inferior se agrega: ""QUE NO ME DI CUENTA"", ambos en letras grandes y en negrita.",DS_IMG_2871.jpg,neither,neither
"Un negro y un gitano van en un coche, ¿quién conduce? El policía.","La imagen es un meme que presenta un fondo dividido en secciones en colores azul y gris. En el centro, hay un perro de raza labrador con gafas, que tiene una expresión seria o de desdén. En la parte superior de la imagen, se encuentra un texto en mayúsculas que dice: ""UN NEGRO Y UN GITANO VAN EN UN COCHE, QUIÉN CONDUCE?"" y en la parte inferior, en un formato prominente, se lee ""EL POLICÍA"". El diseño y el texto son característicos de los memes que juegan con situaciones humorísticas o de doble sentido.",DS_IMG_1093.jpg,hate speech,neither
Joven Sonorense gana concurso Universal Mexicana 2022,"La imagen muestra a una joven sonriente que lleva una corona de reina y un vestido elaborado, adornado con detalles brillantes. Ella sostiene un ramo de flores en su mano. El fondo tiene elementos decorativos difuminados en tonos morados, lo que sugiere un ambiente festivo. En la parte inferior de la imagen, hay un texto en español que dice ""Joven Sonorense gana concurso Universal Mexicana 2022"" con un diseño gráfico que resalta la información sobre el evento.",DS_IMG_2584.jpg,hate speech,neither
Cuando te den café... Y te quedas mirando a ver si te dan pan.,"La imagen es un meme que presenta un solo personaje con características de un simio y un niño. El personaje tiene la cabeza y rasgos faciales de un simio, mientras que su cuerpo es el de un niño pequeño. Lleva una camiseta azul con la palabra ""Kids"" escrita en ella y pantalones rojos. Está sentado en una superficie de piedra, sosteniendo un vaso negro que lleva a su boca. La expresión del personaje es curiosa, como si estuviera esperando algo. En la parte superior de la imagen, hay un texto en letras rojas que dice: ""Cuando te dan café..."" y en la línea siguiente, ""Y te quedas mirando a ver si te dan pan."" El entorno es al aire libre, con un camino y vegetación visible en el fondo.",DS_IMG_3244.jpg,inappropriate content,neither
"Yo viendo con odio y desprecio a la persona que se llama ""Jhonny"" pero escribe su nombre como ""Yoni"":","La imagen es un meme que presenta un personaje de una película de animación, vestido con una vestimenta elaborada de color rojo y negro. El personaje tiene una expresión facial de desdén y desprecio, con las cejas fruncidas y los labios apretados. Está posicionado en un entorno que parece ser un castillo o fortaleza, con una piedra de fondo. Encima del personaje, en texto grande y en negrita, se encuentra el mensaje que expresa desagrado hacia personas que escriben su nombre de cierta manera, usando el nombre ""Yhoni"" como contraste con ""Yoni"". El estilo general del meme es humorístico, utilizando la exageración en la expresión del personaje para transmitir un sentimiento de rechazo.",DS_IMG_2958.jpg,hate speech,hate speech
*El de educación física* *El conserje*,"La imagen es un meme que presenta a dos personajes de estilo animado, situados en un entorno urbano con edificios iluminados de fondo. El personaje a la izquierda tiene un cuerpo robusto, pelaje color marrón y una expresión seria. Lleva una camisa roja y negra. El personaje a la derecha es más delgado, con piel blanca y una expresión neutral, vistiendo un traje rojo también. En la parte superior de la imagen se encuentran las frases: ""*El de educación física*"" colocado sobre el personaje más robusto, y ""*El conserje*"" sobre el personaje delgado. La imagen parece jugar con estereotipos sobre las apariencias y roles de las personas representadas.",DS_IMG_541.jpg,hate speech,neither
"La similitud es impresionante, incluso en los cacho.","La imagen presenta un meme que consta de dos paneles. A la izquierda, se muestra una escultura de una figura con cuernos, que parece ser un ser mitológico o demoníaco, sosteniendo una mano en señal de saludo o gesto. A la derecha, hay una persona visible con audífonos, en un ambiente iluminado con luz azul. Esta persona también está levantando la mano en un gesto similar. Encima de ambas imágenes, hay un texto que dice: ""La similitud es impresionante, incluso en los cacho."" El contraste entre la escultura y la persona crea un efecto visual humorístico al destacar la similitud en las posturas y los ""cachos"" (cuernos).",DS_IMG_1138.jpg,hate speech,neither
rompe tú también la cadena de sexismo y de machismo,"La imagen muestra a un hombre sentado frente a una computadora portátil en un ambiente interior. Él tiene una barba y usa gafas, y viste una camisa de manga larga azul. Se le ve pensativo, mirando hacia la pantalla. El fondo de la habitación incluye un sofá, una mesa con bebidas y varios cuadros y dibujos en las paredes, haciendo un ambiente acogedor. En la parte izquierda de la imagen, hay un texto en letras grandes y blancas que dice: ""ROMPE TÚ TAMBIÉN LA CADENA DE SEXISMO Y DE MACHISMO"". El mensaje del texto parece invitar a la acción en un contexto social.",DS_IMG_340.jpg,hate speech,neither
*Alguien diciéndome cosas lindas* Yo con mi inseguridad: No digas mentiras.,"La imagen es un meme que presenta un texto en la parte superior que dice: ""*Alguien diciéndome cosas lindas* Yo con mi inseguridad:"". Abajo, hay una ilustración de un personaje de una película animada, descrito como un niño pequeño con una expresión facial seria y desafiante. Tiene una cabeza redonda, orejas grandes y un peinado distintivo con un copete hacia arriba. Está vistiendo un traje rojo y tiene una postura decidida. En la parte inferior de la imagen, hay un texto que dice: ""No digas mentiras"". El diseño del meme utiliza humor visual para representar la inseguridad frente a cumplidos.",DS_IMG_1629.jpg,hate speech,neither
*Mi crush sube una foto* Automáticamente yo: Guardar en el teléfono,"La imagen es un meme que muestra a un personaje pequeño y verde, conocido como ""Baby Yoda"", sentado frente a una pantalla. El personaje tiene una expresión concentrada mientras extiende su mano hacia un botón que dice ""Guardar en el teléfono"". La parte superior de la imagen contiene texto que dice ""*Mi crush sube una foto* Automáticamente yo:"", sugiriendo una reacción humorística a la publicación de una persona querida. El fondo presenta un entorno oscuro con luces, típico de una nave espacial. El formato del meme es común, combinando texto y una imagen humorística para transmitir un mensaje de manera efectiva.",DS_IMG_1474.jpg,inappropriate content,neither
¿Y si jugamos al bautizo? - ¿Cómo es eso? - Tú pones el chiquito y yo te echo mis bendiciones.,"La imagen es un meme que presenta un diálogo entre dos personajes animados, con un fondo que sugiere un entorno selvático. El personaje masculino tiene el cabello largo y castaño, con una expresión facial que combina curiosidad y picardía. La mujer, que tiene el cabello corto y castaño claro, muestra una expresión de interés y complicidad. El texto del meme se sitúa en la parte superior de la imagen y presenta un intercambio de comentarios humorísticos sobre un juego relacionado con el bautizo, seguido de una broma insinuante.",DS_IMG_1348.jpg,inappropriate content,neither
¡Perdón! Volveremos más tarde.,"La imagen es un meme que muestra una escena humorística. En el centro, hay un sofá de rayas azules en el que se sienta una persona desnuda, que parece estar sorprendida. La persona está en una posición relajada, con las piernas extendidas. Frente al sofá, hay una chimenea con un marco de reloj, y en ella están Santa Claus, que cuelga boca abajo, y un reno. Santa tiene una expresión de sorpresa y está diciendo: ""¡Perdón! Volveremos más tarde"". El entorno presenta paredes de color naranja y diversos elementos decorativos relacionados con la Navidad.",DS_IMG_3252.jpg,inappropriate content,neither
"Vamos detrás de los arbustos, Caperucita... A mi abuelita no le va a gustar. A tu abuelita le encantó...","La imagen es un meme que representa una escena de un cuento clásico, con un lobo y una niña vestida de Caperucita Roja. El lobo, que tiene una expresión astuta, dice: ""Vamos detrás de los arbustos, Caperucita…"". Caperucita Roja, con una expresión despreocupada, responde: ""A mi abuelita no le va a gustar"". En un segundo plano, el lobo se retrata con una expresión codiciosa, droolando, y un bocadillo de diálogo que dice: ""A tu abuelita le encantó…"". El fondo es colorido, con un cielo azul y un arbusto verde, trasladando un tono cómico y satírico.",DS_IMG_3217.jpg,hate speech,neither
Ganarle a Arabia Saudita,"La imagen muestra a un jugador de fútbol con una expresión seria, vistiendo una camiseta azul con detalles en amarillo, representativa del equipo argentino. En el fondo se puede observar a varias personas, y un trofeo dorado se encuentra en el centro de la imagen. Además, hay texto en la parte superior que dice ""GANARLE A ARABIA SAUDITA"". El logo de ""EL DEFORMA"" aparece en la esquina inferior derecha. ",DS_IMG_2886.jpg,neither,neither
no traigas esto... ...aquí... ¡Gracias!,"La imagen es un meme dividido en dos paneles. En la parte superior, se muestra el rostro de una niña que grita fuertemente, con una expresión de angustia y lágrimas en los ojos. El texto arriba dice ""no traigas esto..."". En la parte inferior, hay una escena de un restaurante donde varias personas están sentadas en mesas disfrutando de su comida. Una mujer en el centro está sonriendo y mirando hacia la cámara. El texto en la parte inferior dice ""...aquí... ¡Gracias!"". La presentación sugiere un contraste entre la reacción emocional de la niña y el entorno relajado del restaurante.",DS_IMG_3040.jpg,hate speech,neither
"Yo: ""Hoy limpiaré, haré ejercicio y me pondré al día con todo, seré muy productivo"" Yo todo el día:","La imagen es un meme que presenta un perro de la raza Shiba Inu envuelto en una manta color rosa con manchas amarillas. El perro tiene una expresión que sugiere tranquilidad o desinterés. En la parte superior de la imagen, hay un texto en español que dice: ""Yo: 'Hoy limpiaré, haré ejercicio y me pondré al día con todo, seré muy productivo.' Yo todo el día:"". La disposición del texto sugiere un contraste entre las intenciones de productividad y la realidad de estar cómodo y relajado.",DS_IMG_1648.jpg,hate speech,hate speech
Yo cuando tengo que ir a hacer mis trámites yo solit@,"La imagen presenta un meme situado en el interior de un vagón de metro. En el centro, hay un pequeño perro blanco que está sentado solo en un banco de color azul claro. Este perro tiene una expresión que puede interpretarse como solitaria o expectante y lleva una bufanda roja con puntos blancos. Al fondo, se puede ver un anuncio en la pared del metro con el texto ""NEW YORKERS KEEP NEW YORK SAFE"". El meme incluye la frase en la parte superior que dice: ""Yo cuando tengo que ir a hacer mis trámites yo solit@"".",DS_IMG_989.jpg,inappropriate content,neither
Yo solía ser un gran edificio como tú. Hasta que me dieron con un árabe en la rodilla.,"La imagen es un meme que presenta dos torres que parecen ser una representación de las Torres Gemelas, cada una con cabezas de carnero en la parte superior. Las torres son grises y tienen una forma rectangular y alta. En la parte inferior de la imagen, hay un texto en letras mayúsculas que dice: ""YO SOLÍA SER UN GRAN EDIFICIO COMO TÚ HASTA QUE ME DIERON CON UN ÁRABE EN LA RODILLA."" El fondo es claro, lo que resalta las torres y el texto.",DS_IMG_930.jpg,hate speech,neither
la tóxica esperando que te vayas a bañar para agarrarte el celular,"La imagen es un meme que presenta a una figura con apariencia aterradora, incluida una piel pálida y unas largas cabelleras desordenadas. La figura, con un rostro expresivo y ojos que reflejan una luz inusual, se muestra en una postura que sugiere ansiedad o malicia, con las manos juntas en una actitud casi de súplica. La parte superior de la imagen contiene el texto ""la toxica esperando que te vayas a bañar para agarrarte el celular"", que se encuentra en un estilo de fuente clara y legible. El fondo de la imagen es oscuro, lo que contribuye a la atmósfera inquietante.",DS_IMG_292.jpg,inappropriate content,neither
